"","variable","model","experiment","value","sd"
"284","dryso4","GISS-E2.1","shp_60p_red_1950",-1.25073791434437e-14,1.38372035933783e-15
"285","dryso4","NorESM2","shp_60p_red_1950",-1.72692491885543e-14,6.37651149868697e-16
"286","emibc","CAM-ATRAS","shp_60p_red_1950",2.16154722469005e-21,5.52822010135436e-21
"287","emibc","CESM1","shp_60p_red_1950",-1.95278862705095e-21,2.32431165636206e-21
"288","emibc","E3SM","shp_60p_red_1950",1.41892612970495e-21,5.54353125110906e-21
"289","emibc","GFDL-ESM4","shp_60p_red_1950",2.97809029406077e-21,6.74107741651407e-21
"290","emibc","GISS-E2.1","shp_60p_red_1950",0,0
"291","emibc","NorESM2","shp_60p_red_1950",-1.46082717593207e-21,3.08983635880685e-21
"292","emiso2","CAM-ATRAS","shp_60p_red_1950",-2.13385562643252e-13,7.2580775034743e-15
"293","emiso2","E3SM","shp_60p_red_1950",-2.24063055403481e-13,7.63055893206255e-15
"294","emiso2","GFDL-ESM4","shp_60p_red_1950",-2.30892395264213e-13,1.69722422170424e-14
"295","emiso2","GISS-E2.1","shp_60p_red_1950",-2.1075459867956e-13,0
"296","emiso2","NorESM2","shp_60p_red_1950",-2.25581818982691e-13,1.65173934161039e-14
"297","loadbc","CAM-ATRAS","shp_60p_red_1950",-1.48328852545085e-10,1.61553330819154e-10
"298","loadbc","CESM1","shp_60p_red_1950",-5.63436825536545e-11,3.94715769365133e-10
"299","loadbc","E3SM","shp_60p_red_1950",1.98581277934594e-10,1.29338939514695e-10
"300","loadbc","NorESM2","shp_60p_red_1950",7.53391297353321e-11,1.69394348027456e-10
"301","loadso2","CAM-ATRAS","shp_60p_red_1950",-1.04350926856678e-08,8.81201285473028e-10
"302","loadso2","CESM1","shp_60p_red_1950",-1.14505992778733e-08,1.36705864628654e-09
"303","loadso2","E3SM","shp_60p_red_1950",-1.23546760900624e-08,6.29456864352194e-10
"304","loadso2","GISS-E2.1","shp_60p_red_1950",-1.90429232115634e-08,1.21794113134563e-09
"305","loadso2","NorESM2","shp_60p_red_1950",-5.68043998872969e-09,9.44699761402765e-10
"306","loadso4","CAM-ATRAS","shp_60p_red_1950",-2.78362003657192e-08,4.22361177541951e-09
"307","loadso4","CESM1","shp_60p_red_1950",-3.47240950477554e-08,2.68530419790907e-09
"308","loadso4","E3SM","shp_60p_red_1950",-3.30136658579639e-08,1.3910985523846e-09
"309","loadso4","GFDL-ESM4","shp_60p_red_1950",-3.77993748328494e-08,3.9393683054434e-09
"310","loadso4","GISS-E2.1","shp_60p_red_1950",-2.2797821227456e-08,1.64305413370108e-09
"311","loadso4","NorESM2","shp_60p_red_1950",-1.81004765357705e-08,2.3332887395993e-09
